method                        ,description                                                                                                  ,seed ,idx ,circuit  ,V_macros ,HPWL_paper_format ,macro_legality ,data_source
FlowMatch_ODE10               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 10 ODE steps                                ,300  ,3   ,adaptec4 ,1329     ,67.9678           ,0.9953         ,metrics.csv (on disk)
FlowMatch_ODE10               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 10 ODE steps                                ,300  ,4   ,bigblue1 ,560      ,2.8044            ,0.9957         ,metrics.csv (on disk)
FlowMatch_ODE10               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 10 ODE steps                                ,300  ,6   ,bigblue3 ,1298     ,49.7534           ,0.9205         ,metrics.csv (on disk)
FlowMatch_ODE10               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 10 ODE steps                                ,300  ,7   ,bigblue4 ,8170     ,328.6302          ,0.9887         ,metrics.csv (on disk)
FlowMatch_ODE1000             ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 1000 ODE steps                              ,300  ,0   ,adaptec1 ,543      ,10.3886           ,0.9898         ,metrics.csv (on disk)
FlowMatch_ODE1000             ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 1000 ODE steps                              ,300  ,1   ,adaptec2 ,566      ,36.802            ,0.9743         ,metrics.csv (on disk)
FlowMatch_ODE1000             ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 1000 ODE steps                              ,300  ,2   ,adaptec3 ,723      ,78.126            ,0.9952         ,metrics.csv (on disk)
FlowMatch_ODE1000             ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 1000 ODE steps                              ,300  ,3   ,adaptec4 ,1329     ,78.3815           ,0.9926         ,metrics.csv (on disk)
FlowMatch_ODE1000             ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 1000 ODE steps                              ,300  ,4   ,bigblue1 ,560      ,5.3006            ,0.9966         ,metrics.csv (on disk)
FlowMatch_ODE1000             ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 1000 ODE steps                              ,300  ,6   ,bigblue3 ,1298     ,53.522            ,0.9217         ,metrics.csv (on disk)
FlowMatch_ODE1000             ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 1000 ODE steps                              ,300  ,7   ,bigblue4 ,8170     ,276.8076          ,0.9879         ,metrics.csv (on disk)
FlowMatch_ODE50               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 50 ODE steps (best FM setting)              ,300  ,0   ,adaptec1 ,543      ,9.2842            ,0.9748         ,metrics.csv (on disk)
FlowMatch_ODE50               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 50 ODE steps (best FM setting)              ,300  ,1   ,adaptec2 ,566      ,33.0424           ,0.9784         ,metrics.csv (on disk)
FlowMatch_ODE50               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 50 ODE steps (best FM setting)              ,300  ,2   ,adaptec3 ,723      ,66.2116           ,0.9957         ,metrics.csv (on disk)
FlowMatch_ODE50               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 50 ODE steps (best FM setting)              ,300  ,3   ,adaptec4 ,1329     ,61.8112           ,0.9969         ,metrics.csv (on disk)
FlowMatch_ODE50               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 50 ODE steps (best FM setting)              ,300  ,4   ,bigblue1 ,560      ,3.0068            ,0.9958         ,metrics.csv (on disk)
FlowMatch_ODE50               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 50 ODE steps (best FM setting)              ,300  ,6   ,bigblue3 ,1298     ,49.0223           ,0.9205         ,metrics.csv (on disk)
FlowMatch_ODE50               ,Flow matching (linear OT + Euler ODE) on v1.61-fs 500k batch=32; 50 ODE steps (best FM setting)              ,300  ,7   ,bigblue4 ,8170     ,267.8138          ,0.9871         ,metrics.csv (on disk)
FromScratch_Stage2            ,From-scratch X + Stage 2 fine-tune on v2.61 (v2.61.fs_p1_X_stage2_b32.61); regression vs Stage 1 500k        ,300  ,0   ,adaptec1 ,543      ,9.3092            ,0.9914         ,metrics.csv (on disk)
FromScratch_Stage2            ,From-scratch X + Stage 2 fine-tune on v2.61 (v2.61.fs_p1_X_stage2_b32.61); regression vs Stage 1 500k        ,300  ,1   ,adaptec2 ,566      ,26.6463           ,0.9623         ,metrics.csv (on disk)
FromScratch_Stage2            ,From-scratch X + Stage 2 fine-tune on v2.61 (v2.61.fs_p1_X_stage2_b32.61); regression vs Stage 1 500k        ,300  ,2   ,adaptec3 ,723      ,55.2832           ,0.9967         ,metrics.csv (on disk)
FromScratch_Stage2            ,From-scratch X + Stage 2 fine-tune on v2.61 (v2.61.fs_p1_X_stage2_b32.61); regression vs Stage 1 500k        ,300  ,3   ,adaptec4 ,1329     ,53.2151           ,0.9977         ,metrics.csv (on disk)
FromScratch_Stage2            ,From-scratch X + Stage 2 fine-tune on v2.61 (v2.61.fs_p1_X_stage2_b32.61); regression vs Stage 1 500k        ,300  ,4   ,bigblue1 ,560      ,2.681             ,0.9956         ,metrics.csv (on disk)
FromScratch_Stage2            ,From-scratch X + Stage 2 fine-tune on v2.61 (v2.61.fs_p1_X_stage2_b32.61); regression vs Stage 1 500k        ,300  ,6   ,bigblue3 ,1298     ,32.3534           ,0.9974         ,metrics.csv (on disk)
FromScratch_Stage2            ,From-scratch X + Stage 2 fine-tune on v2.61 (v2.61.fs_p1_X_stage2_b32.61); regression vs Stage 1 500k        ,300  ,7   ,bigblue4 ,8170     ,145.5964          ,0.9902         ,metrics.csv (on disk)
FromScratch_X_pure_1.6M       ,From-scratch X resumed to 1.6M (crashed; basically same as 500k)                                             ,300  ,0   ,adaptec1 ,543      ,9.1012            ,0.9939         ,metrics.csv (on disk)
FromScratch_X_pure_1.6M       ,From-scratch X resumed to 1.6M (crashed; basically same as 500k)                                             ,300  ,1   ,adaptec2 ,566      ,29.7853           ,0.9742         ,metrics.csv (on disk)
FromScratch_X_pure_1.6M       ,From-scratch X resumed to 1.6M (crashed; basically same as 500k)                                             ,300  ,2   ,adaptec3 ,723      ,57.279            ,0.9949         ,metrics.csv (on disk)
FromScratch_X_pure_1.6M       ,From-scratch X resumed to 1.6M (crashed; basically same as 500k)                                             ,300  ,3   ,adaptec4 ,1329     ,56.1872           ,0.9964         ,metrics.csv (on disk)
FromScratch_X_pure_1.6M       ,From-scratch X resumed to 1.6M (crashed; basically same as 500k)                                             ,300  ,4   ,bigblue1 ,560      ,2.7027            ,0.9962         ,metrics.csv (on disk)
FromScratch_X_pure_1.6M       ,From-scratch X resumed to 1.6M (crashed; basically same as 500k)                                             ,300  ,6   ,bigblue3 ,1298     ,31.3227           ,0.997          ,metrics.csv (on disk)
FromScratch_X_pure_1.6M       ,From-scratch X resumed to 1.6M (crashed; basically same as 500k)                                             ,300  ,7   ,bigblue4 ,8170     ,129.1686          ,0.9928         ,metrics.csv (on disk)
FromScratch_X_pure_500k       ,From-scratch X: pure denoising 500k batch=32                                                                 ,300  ,0   ,adaptec1 ,543      ,9.121             ,0.9945         ,metrics.csv (on disk)
FromScratch_X_pure_500k       ,From-scratch X: pure denoising 500k batch=32                                                                 ,300  ,1   ,adaptec2 ,566      ,28.9615           ,0.9639         ,metrics.csv (on disk)
FromScratch_X_pure_500k       ,From-scratch X: pure denoising 500k batch=32                                                                 ,300  ,2   ,adaptec3 ,723      ,56.4552           ,0.997          ,metrics.csv (on disk)
FromScratch_X_pure_500k       ,From-scratch X: pure denoising 500k batch=32                                                                 ,300  ,3   ,adaptec4 ,1329     ,55.8656           ,0.999          ,metrics.csv (on disk)
FromScratch_X_pure_500k       ,From-scratch X: pure denoising 500k batch=32                                                                 ,300  ,4   ,bigblue1 ,560      ,2.705             ,0.9963         ,metrics.csv (on disk)
FromScratch_X_pure_500k       ,From-scratch X: pure denoising 500k batch=32                                                                 ,300  ,6   ,bigblue3 ,1298     ,33.0355           ,0.9968         ,metrics.csv (on disk)
FromScratch_X_pure_500k       ,From-scratch X: pure denoising 500k batch=32                                                                 ,300  ,7   ,bigblue4 ,8170     ,129.2256          ,0.9877         ,metrics.csv (on disk)
FromScratch_Y_aux_500k        ,From-scratch Y: + HPWL/legality aux 500k batch=32                                                            ,300  ,0   ,adaptec1 ,543      ,9.4264            ,0.9948         ,metrics.csv (on disk)
FromScratch_Y_aux_500k        ,From-scratch Y: + HPWL/legality aux 500k batch=32                                                            ,300  ,1   ,adaptec2 ,566      ,31.3433           ,0.9088         ,metrics.csv (on disk)
FromScratch_Y_aux_500k        ,From-scratch Y: + HPWL/legality aux 500k batch=32                                                            ,300  ,2   ,adaptec3 ,723      ,53.5861           ,0.9968         ,metrics.csv (on disk)
FromScratch_Y_aux_500k        ,From-scratch Y: + HPWL/legality aux 500k batch=32                                                            ,300  ,3   ,adaptec4 ,1329     ,53.2022           ,0.999          ,metrics.csv (on disk)
FromScratch_Y_aux_500k        ,From-scratch Y: + HPWL/legality aux 500k batch=32                                                            ,300  ,4   ,bigblue1 ,560      ,2.6909            ,0.9965         ,metrics.csv (on disk)
FromScratch_Y_aux_500k        ,From-scratch Y: + HPWL/legality aux 500k batch=32                                                            ,300  ,6   ,bigblue3 ,1298     ,34.504            ,0.9973         ,metrics.csv (on disk)
FromScratch_Y_aux_500k        ,From-scratch Y: + HPWL/legality aux 500k batch=32                                                            ,300  ,7   ,bigblue4 ,8170     ,131.0921          ,0.9918         ,metrics.csv (on disk)
Our_repro_large-v2_opt_seed300,Our reproduction of paper baseline (CLAUDE.md baseline column)                                               ,300  ,0   ,adaptec1 ,         ,10.22             ,               ,CLAUDE.md baseline column / verify_report.md
Our_repro_large-v2_opt_seed300,Our reproduction of paper baseline (CLAUDE.md baseline column)                                               ,300  ,1   ,adaptec2 ,         ,39.06             ,               ,CLAUDE.md baseline column / verify_report.md
Our_repro_large-v2_opt_seed300,Our reproduction of paper baseline (CLAUDE.md baseline column)                                               ,300  ,2   ,adaptec3 ,         ,62.14             ,               ,CLAUDE.md baseline column / verify_report.md
Our_repro_large-v2_opt_seed300,Our reproduction of paper baseline (CLAUDE.md baseline column)                                               ,300  ,3   ,adaptec4 ,         ,60.51             ,               ,CLAUDE.md baseline column / verify_report.md
Our_repro_large-v2_opt_seed300,Our reproduction of paper baseline (CLAUDE.md baseline column)                                               ,300  ,4   ,bigblue1 ,         ,2.69              ,               ,CLAUDE.md baseline column / verify_report.md
Our_repro_large-v2_opt_seed300,Our reproduction of paper baseline (CLAUDE.md baseline column)                                               ,300  ,6   ,bigblue3 ,         ,34.26             ,               ,CLAUDE.md baseline column / verify_report.md
Our_repro_large-v2_opt_seed300,Our reproduction of paper baseline (CLAUDE.md baseline column)                                               ,300  ,7   ,bigblue4 ,         ,131.96            ,               ,CLAUDE.md baseline column / verify_report.md
Paper_Table10_published       ,Paper arXiv:2407.12282 Table 10 reported numbers (seed=400)                                                  ,400  ,0   ,adaptec1 ,         ,9.19              ,               ,paper publication
Paper_Table10_published       ,Paper arXiv:2407.12282 Table 10 reported numbers (seed=400)                                                  ,400  ,1   ,adaptec2 ,         ,31.0              ,               ,paper publication
Paper_Table10_published       ,Paper arXiv:2407.12282 Table 10 reported numbers (seed=400)                                                  ,400  ,2   ,adaptec3 ,         ,54.4              ,               ,paper publication
Paper_Table10_published       ,Paper arXiv:2407.12282 Table 10 reported numbers (seed=400)                                                  ,400  ,3   ,adaptec4 ,         ,54.5              ,               ,paper publication
Paper_Table10_published       ,Paper arXiv:2407.12282 Table 10 reported numbers (seed=400)                                                  ,400  ,4   ,bigblue1 ,         ,2.64              ,               ,paper publication
Paper_Table10_published       ,Paper arXiv:2407.12282 Table 10 reported numbers (seed=400)                                                  ,400  ,5   ,bigblue2 ,         ,38.8              ,               ,paper publication
Paper_Table10_published       ,Paper arXiv:2407.12282 Table 10 reported numbers (seed=400)                                                  ,400  ,6   ,bigblue3 ,         ,35.9              ,               ,paper publication
Paper_Table10_published       ,Paper arXiv:2407.12282 Table 10 reported numbers (seed=400)                                                  ,400  ,7   ,bigblue4 ,         ,140.6             ,               ,paper publication
SVDD_Phase1_K4L0_raw          ,Phase 1 SVDD K=4 λ=0 (HPWL only) RAW (no legalization)                                                       ,300  ,0   ,adaptec1 ,543      ,10.4297           ,0.6638         ,metrics.csv (on disk)
SVDD_Phase1_K4L0_raw          ,Phase 1 SVDD K=4 λ=0 (HPWL only) RAW (no legalization)                                                       ,300  ,4   ,bigblue1 ,560      ,9.4292            ,0.8312         ,metrics.csv (on disk)
SVDD_Phase1_K4L1_every1_raw   ,Phase 1 SVDD K=4 λ=1 every_n=1 aggressive RAW                                                                ,300  ,0   ,adaptec1 ,543      ,8.6316            ,0.6112         ,metrics.csv (on disk)
SVDD_Phase1_K4L1_late_raw     ,Phase 1 SVDD K=4 λ=1 start_step_frac=0.3 RAW                                                                 ,300  ,0   ,adaptec1 ,543      ,10.6996           ,0.6981         ,metrics.csv (on disk)
SVDD_Phase1_K4L1_raw          ,Phase 1 SVDD K=4 λ=1 (HPWL+leg) RAW                                                                          ,300  ,0   ,adaptec1 ,543      ,9.8935            ,0.6561         ,metrics.csv (on disk)
SVDD_Phase1_K4L1_raw          ,Phase 1 SVDD K=4 λ=1 (HPWL+leg) RAW                                                                          ,300  ,4   ,bigblue1 ,560      ,9.5122            ,0.8305         ,metrics.csv (on disk)
SVDD_Phase1_K4L1_raw          ,Phase 1 SVDD K=4 λ=1 (HPWL+leg) RAW                                                                          ,301  ,0   ,adaptec1 ,543      ,9.1997            ,0.6592         ,metrics.csv (on disk)
SVDD_Phase1_K4L1_raw          ,Phase 1 SVDD K=4 λ=1 (HPWL+leg) RAW                                                                          ,301  ,4   ,bigblue1 ,560      ,8.8752            ,0.8091         ,metrics.csv (on disk)
SVDD_Phase1_K4L1_raw          ,Phase 1 SVDD K=4 λ=1 (HPWL+leg) RAW                                                                          ,302  ,0   ,adaptec1 ,543      ,9.3856            ,0.6319         ,metrics.csv (on disk)
SVDD_Phase1_K8L0_raw          ,Phase 1 SVDD K=8 λ=0 RAW                                                                                     ,300  ,0   ,adaptec1 ,543      ,10.4184           ,0.6582         ,metrics.csv (on disk)
SVDD_Phase1_none_raw          ,Phase 1 baseline guidance=none RAW                                                                           ,300  ,0   ,adaptec1 ,543      ,10.3276           ,0.6897         ,metrics.csv (on disk)
SVDD_Phase1_none_raw          ,Phase 1 baseline guidance=none RAW                                                                           ,300  ,4   ,bigblue1 ,560      ,9.6145            ,0.8379         ,metrics.csv (on disk)
SVDD_Phase1_none_raw          ,Phase 1 baseline guidance=none RAW                                                                           ,301  ,0   ,adaptec1 ,543      ,9.1189            ,0.6455         ,metrics.csv (on disk)
SVDD_Phase1_none_raw          ,Phase 1 baseline guidance=none RAW                                                                           ,301  ,4   ,bigblue1 ,560      ,9.3407            ,0.8148         ,metrics.csv (on disk)
SVDD_Phase1_none_raw          ,Phase 1 baseline guidance=none RAW                                                                           ,302  ,0   ,adaptec1 ,543      ,9.2364            ,0.6243         ,metrics.csv (on disk)
SVDD_layered_ablation_10k     ,SVDD layered on Ablation 10k + opt (Phase 3 Run E = 44.49)                                                   ,300  ,0   ,adaptec1 ,543      ,9.6689            ,0.9574         ,metrics.csv (on disk)
SVDD_layered_ablation_10k     ,SVDD layered on Ablation 10k + opt (Phase 3 Run E = 44.49)                                                   ,300  ,1   ,adaptec2 ,566      ,32.4324           ,0.9833         ,metrics.csv (on disk)
SVDD_layered_ablation_10k     ,SVDD layered on Ablation 10k + opt (Phase 3 Run E = 44.49)                                                   ,300  ,2   ,adaptec3 ,723      ,53.5291           ,0.9965         ,metrics.csv (on disk)
SVDD_layered_ablation_10k     ,SVDD layered on Ablation 10k + opt (Phase 3 Run E = 44.49)                                                   ,300  ,3   ,adaptec4 ,1329     ,52.9691           ,0.9987         ,metrics.csv (on disk)
SVDD_layered_ablation_10k     ,SVDD layered on Ablation 10k + opt (Phase 3 Run E = 44.49)                                                   ,300  ,4   ,bigblue1 ,560      ,2.6218            ,0.9964         ,metrics.csv (on disk)
SVDD_layered_ablation_10k     ,SVDD layered on Ablation 10k + opt (Phase 3 Run E = 44.49)                                                   ,300  ,6   ,bigblue3 ,1298     ,30.8266           ,0.9966         ,metrics.csv (on disk)
SVDD_layered_ablation_10k     ,SVDD layered on Ablation 10k + opt (Phase 3 Run E = 44.49)                                                   ,300  ,7   ,bigblue4 ,8170     ,129.3491          ,0.9915         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,300  ,0   ,adaptec1 ,543      ,8.8432            ,0.9858         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,300  ,1   ,adaptec2 ,566      ,30.4169           ,0.9718         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,300  ,2   ,adaptec3 ,723      ,55.3608           ,0.9961         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,300  ,3   ,adaptec4 ,1329     ,53.1279           ,0.9981         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,300  ,4   ,bigblue1 ,560      ,2.6387            ,0.9965         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,300  ,6   ,bigblue3 ,1298     ,40.991            ,0.9971         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,300  ,7   ,bigblue4 ,8170     ,124.3017          ,0.992          ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,301  ,0   ,adaptec1 ,543      ,9.4051            ,0.993          ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,301  ,1   ,adaptec2 ,566      ,35.1338           ,0.9607         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,301  ,2   ,adaptec3 ,723      ,55.4313           ,0.9949         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,301  ,3   ,adaptec4 ,1329     ,52.398            ,0.9985         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,301  ,4   ,bigblue1 ,560      ,2.6438            ,0.9967         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,301  ,6   ,bigblue3 ,1298     ,31.946            ,0.9974         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,301  ,7   ,bigblue4 ,8170     ,121.7616          ,0.9886         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,302  ,0   ,adaptec1 ,543      ,9.1334            ,0.9806         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,302  ,1   ,adaptec2 ,566      ,34.6584           ,0.9587         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,302  ,2   ,adaptec3 ,723      ,54.2145           ,0.9928         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,302  ,3   ,adaptec4 ,1329     ,54.8182           ,0.9988         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,302  ,4   ,bigblue1 ,560      ,2.6023            ,0.9964         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,302  ,6   ,bigblue3 ,1298     ,31.5534           ,0.9975         ,metrics.csv (on disk)
SVDD_layered_large-v2         ,SVDD-PM K=4 every_n=1 λ=1 layered on opt; large-v2 ckpt (Phase 5)                                            ,302  ,7   ,bigblue4 ,8170     ,130.3653          ,0.9922         ,metrics.csv (on disk)
SVDD_only_ablation_10k        ,SVDD only on Ablation 10k (Phase 2 Run C)                                                                    ,300  ,0   ,adaptec1 ,543      ,10.2811           ,0.9947         ,metrics.csv (on disk)
SVDD_only_ablation_10k        ,SVDD only on Ablation 10k (Phase 2 Run C)                                                                    ,300  ,1   ,adaptec2 ,566      ,35.6914           ,0.9791         ,metrics.csv (on disk)
SVDD_only_ablation_10k        ,SVDD only on Ablation 10k (Phase 2 Run C)                                                                    ,300  ,2   ,adaptec3 ,723      ,61.794            ,0.9966         ,metrics.csv (on disk)
SVDD_only_ablation_10k        ,SVDD only on Ablation 10k (Phase 2 Run C)                                                                    ,300  ,3   ,adaptec4 ,1329     ,61.4028           ,0.9986         ,metrics.csv (on disk)
SVDD_only_ablation_10k        ,SVDD only on Ablation 10k (Phase 2 Run C)                                                                    ,300  ,4   ,bigblue1 ,560      ,7.9353            ,0.9966         ,metrics.csv (on disk)
SVDD_only_ablation_10k        ,SVDD only on Ablation 10k (Phase 2 Run C)                                                                    ,300  ,6   ,bigblue3 ,1298     ,44.7949           ,0.9939         ,metrics.csv (on disk)
SVDD_only_ablation_10k        ,SVDD only on Ablation 10k (Phase 2 Run C)                                                                    ,300  ,7   ,bigblue4 ,8170     ,281.7095          ,0.9854         ,metrics.csv (on disk)
SVDD_only_large-v2_noOpt      ,SVDD replaces opt entirely; large-v2                                                                         ,300  ,0   ,adaptec1 ,543      ,11.3591           ,0.9932         ,metrics.csv (on disk)
SVDD_only_large-v2_noOpt      ,SVDD replaces opt entirely; large-v2                                                                         ,300  ,1   ,adaptec2 ,566      ,37.3835           ,0.9736         ,metrics.csv (on disk)
SVDD_only_large-v2_noOpt      ,SVDD replaces opt entirely; large-v2                                                                         ,300  ,2   ,adaptec3 ,723      ,59.3661           ,0.996          ,metrics.csv (on disk)
SVDD_only_large-v2_noOpt      ,SVDD replaces opt entirely; large-v2                                                                         ,300  ,3   ,adaptec4 ,1329     ,60.4063           ,0.997          ,metrics.csv (on disk)
SVDD_only_large-v2_noOpt      ,SVDD replaces opt entirely; large-v2                                                                         ,300  ,4   ,bigblue1 ,560      ,6.525             ,0.9965         ,metrics.csv (on disk)
SVDD_only_large-v2_noOpt      ,SVDD replaces opt entirely; large-v2                                                                         ,300  ,6   ,bigblue3 ,1298     ,49.8276           ,0.9974         ,metrics.csv (on disk)
SVDD_only_large-v2_noOpt      ,SVDD replaces opt entirely; large-v2                                                                         ,300  ,7   ,bigblue4 ,8170     ,240.8521          ,0.9901         ,metrics.csv (on disk)
SeedEnsemble_upperBound       ,DDPO v2 seed ensemble best-per-circuit upper bound = 43.89 (NOT a single method)                             ,     ,0   ,adaptec1 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
SeedEnsemble_upperBound       ,DDPO v2 seed ensemble best-per-circuit upper bound = 43.89 (NOT a single method)                             ,     ,1   ,adaptec2 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
SeedEnsemble_upperBound       ,DDPO v2 seed ensemble best-per-circuit upper bound = 43.89 (NOT a single method)                             ,     ,2   ,adaptec3 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
SeedEnsemble_upperBound       ,DDPO v2 seed ensemble best-per-circuit upper bound = 43.89 (NOT a single method)                             ,     ,3   ,adaptec4 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
SeedEnsemble_upperBound       ,DDPO v2 seed ensemble best-per-circuit upper bound = 43.89 (NOT a single method)                             ,     ,4   ,bigblue1 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
SeedEnsemble_upperBound       ,DDPO v2 seed ensemble best-per-circuit upper bound = 43.89 (NOT a single method)                             ,     ,6   ,bigblue3 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
SeedEnsemble_upperBound       ,DDPO v2 seed ensemble best-per-circuit upper bound = 43.89 (NOT a single method)                             ,     ,7   ,bigblue4 ,         ,AVG_ONLY          ,               ,CLAUDE.md (no per-circuit available)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,300  ,0   ,adaptec1 ,543      ,8.9669            ,0.9891         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,300  ,1   ,adaptec2 ,566      ,31.3056           ,0.9738         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,300  ,2   ,adaptec3 ,723      ,53.7474           ,0.9954         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,300  ,3   ,adaptec4 ,1329     ,53.7589           ,0.9984         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,300  ,4   ,bigblue1 ,560      ,2.6498            ,0.9967         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,300  ,6   ,bigblue3 ,1298     ,34.1048           ,0.9964         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,300  ,7   ,bigblue4 ,8170     ,130.2763          ,0.9923         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,301  ,0   ,adaptec1 ,543      ,9.1785            ,0.9945         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,301  ,1   ,adaptec2 ,566      ,33.1719           ,0.9758         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,301  ,2   ,adaptec3 ,723      ,54.643            ,0.9952         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,301  ,3   ,adaptec4 ,1329     ,56.9685           ,0.9987         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,301  ,4   ,bigblue1 ,560      ,2.6483            ,0.997          ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,301  ,6   ,bigblue3 ,1298     ,33.7825           ,0.9975         ,metrics.csv (on disk)
TDS_layered_large-v2          ,TDS N=4 SMC importance-weighted layered on opt                                                               ,301  ,7   ,bigblue4 ,8170     ,128.1018          ,0.9917         ,metrics.csv (on disk)
